Time,Yaw
0.10051965713500977,[-136.76469135   -1.2156961     2.52876856]
0.2006988525390625,[-136.52093261   -2.44944422    3.70897581]
0.30071306228637695,[-135.87700715  -10.10717741   10.28760682]
0.40047311782836914,[-135.21853095  -11.35410081   11.41003346]
0.5004823207855225,[-135.10524987   -9.65342317   10.02139949]
0.6004972457885742,[-134.86615837   -5.89037007    7.78067451]
0.7007217407226562,[-134.43024882   -2.24464995    4.90013748]
0.8005826473236084,[-1.34220378e+02  2.59406429e-02  2.91544440e+00]
0.9004573822021484,[-134.2417413     0.88599348    1.69158307]
1.000450849533081,[-134.06807513    0.84889119    1.19031031]
1.1004645824432373,[-134.2364894     0.40884612    1.37651321]
1.2006404399871826,[-1.34230484e+02 -2.93768577e-02  1.56149000e+00]
1.3004951477050781,[-1.33883420e+02 -1.08451606e-01  1.76960062e+00]
1.4003698825836182,[-133.70879631   -0.37623842    1.54046552]
1.500610113143921,[-133.3633602    -0.30882475    1.68722148]
1.6006362438201904,[-132.84784312   -0.21930553    1.47981561]
1.7005970478057861,[-1.32330789e+02 -1.31648176e-01  1.27165096e+00]
1.8004932403564453,[-131.81235103    0.14834618    1.49702489]
1.9004638195037842,[-131.11954504    0.3149015     1.0761442 ]
2.000580072402954,[-130.25208238    0.87761797    1.51583871]
2.100346565246582,[-128.84681286    1.33742614    0.5905135 ]
2.200394630432129,[-127.43543279    0.49151207    0.99525484]
2.300481081008911,[-125.66210323    0.79276591    1.19729911]
2.400592565536499,[-124.0571938     2.08744817    1.22582065]
2.500568389892578,[-123.50935099    0.47109067    1.54702025]
2.600458860397339,[-122.43991532    2.33372224    1.61334649]
2.7004318237304688,[-122.61226746    0.97665363    1.45401266]
2.8005669116973877,[-123.14887314    0.23796081    0.77274291]
2.900629758834839,[-123.14903251   -0.29041374   -0.20342161]
3.000401735305786,[-1.23327995e+02 -2.19156762e-02 -7.08805386e-01]
3.1004838943481445,[-123.87025854   -0.65286675   -0.55042359]
3.200617551803589,[-1.24046068e+02 -2.62110033e-02 -1.06340165e+00]
3.3005809783935547,[-124.94462336   -0.29911368   -0.9169987 ]
3.400486946105957,[-127.77156164    1.00231788   -1.19775588]
3.500495195388794,[-133.01290607    0.72097121   -1.52374348]
3.600379467010498,[-141.22231364   -1.24703422   -2.58745126]
3.7005860805511475,[-150.57064317   -2.97015438   -3.81295556]
3.800511360168457,[-160.91289251   -4.52517272   -5.8400203 ]
3.9004323482513428,[-171.44815246   -5.22700318   -8.05286879]
4.000516176223755,[177.66992242  -5.22494857  -9.16543547]
4.100526332855225,[166.12846486  -4.368801   -11.57858153]
4.200525999069214,[155.14792955  -2.28940111 -12.54446664]
4.300405263900757,[145.23887213   0.86342577 -13.38708477]
4.400327205657959,[136.69534129   3.1667955  -12.25610578]
4.5004966259002686,[128.90576845   5.86621561 -10.77245061]
4.600518465042114,[122.13486213   7.35520824  -9.02259742]
4.700366020202637,[115.55328268   5.87005126  -6.62939846]
4.8004772663116455,[109.21602524   7.16948453  -5.4318022 ]
4.9003331661224365,[103.21520304   7.14574233  -4.67464252]
5.000587463378906,[97.61516536  6.57231127 -4.37815949]
5.1004838943481445,[92.83984284  6.21534799 -2.85024619]
5.200465440750122,[88.32486991  5.65584726 -3.06130029]
5.3003621101379395,[84.15511115  5.63351852 -2.52261308]
5.400507688522339,[80.17781977  5.960684   -2.5303353 ]
5.500563859939575,[76.85530108  6.07809821 -1.78577341]
5.60046124458313,[73.79923567  5.83754187 -1.20973852]
5.700468301773071,[71.00594658  5.4773564  -0.79022022]
5.800474166870117,[68.26860298  5.01135086 -0.52312799]
5.900529623031616,[65.38299678  4.09798186 -0.36868028]
6.00037407875061,[ 6.21844937e+01  3.69905266e+00 -8.29838868e-03]
6.100375175476074,[58.69591291  4.12971897  0.2254347 ]
6.200331211090088,[55.26212067  4.33530063  0.41613299]
6.300516366958618,[52.04421308  4.10641681  0.81952662]
6.4004411697387695,[49.21181628  3.85057883  1.55171138]
6.500464200973511,[46.43150837  3.81184118  1.64468832]
6.600420951843262,[43.84994639  3.62669901  1.78932442]
6.700551271438599,[41.13053247  3.32313269  1.63340212]
6.800457239151001,[38.2675885   3.02734912  1.46805703]
6.9004480838775635,[35.06647635  3.57494338  2.36446135]
7.000355243682861,[31.76428579  3.06969787  2.09523824]
7.100526571273804,[28.13030606  3.46415242  2.73031196]
7.200517892837524,[23.88239733  3.58180722  3.13464916]
7.300426483154297,[20.65624281  3.15142887  3.13469373]
7.400300979614258,[17.92602727  2.63054095  3.4394365 ]
7.500345945358276,[15.05431643  2.3236169   3.05296911]
7.600461959838867,[12.33840388  2.2506251   3.10714627]
7.700381517410278,[9.80361278 1.96879266 2.53734242]
7.800360202789307,[7.11092599 1.57223473 2.28581294]
7.900369167327881,[4.09539665 1.35874424 2.49051883]
8.00051212310791,[1.55412024 1.46178479 2.51791473]
8.100489616394043,[-0.9829011   1.24443262  2.865475  ]
8.200344324111938,[-3.83468734  1.00892628  3.04872864]
8.300337076187134,[-6.85746859  1.06760863  3.40049091]
8.400420665740967,[-9.87674161  0.76508549  4.04597737]
8.50057053565979,[-12.89695993   0.50048534   4.04686233]
8.600404262542725,[-16.09198998   0.38742603   4.05922625]
8.700382947921753,[-19.44874791  -0.09806643   4.32799643]
8.800495386123657,[-22.82693528  -0.44404493   4.60295617]
8.900539636611938,[-26.22523198  -0.77100061   4.70639488]
9.000356674194336,[-29.63953536  -1.29909153   4.9072128 ]
9.100405216217041,[-32.93772252  -1.25958577   4.25900173]
9.200296878814697,[-36.7556503   -1.5010205    4.51599056]
9.300406455993652,[-40.78617872  -1.75229016   4.25649143]
9.400511264801025,[-45.04198215  -2.00614945   4.83588043]
9.50034761428833,[-49.35422213  -2.6079001    4.91342242]
9.600325345993042,[-53.75336756  -2.9384234    5.09326644]
9.700531482696533,[-57.88505949  -3.16684407   4.41381066]
9.800561666488647,[-62.28281401  -3.60537212   4.12531024]
9.900317430496216,[-66.60520755  -3.84883526   3.54697546]
10.0003662109375,[-70.84414319  -4.14365959   3.0891004 ]
10.100337743759155,[-74.99643757  -4.15599204   2.81097973]
10.20051121711731,[-79.4835959   -4.95378333   2.48494652]
10.300449848175049,[-83.46996476  -4.81291759   2.29813538]
10.400431156158447,[-87.81393254  -4.90053173   1.88959446]
10.500398397445679,[-92.04481048  -5.18300591   1.25455989]
10.600443840026855,[-96.38518345  -5.22670468   1.05727688]
10.700435400009155,[-100.79586985   -5.56692181    0.48838081]
10.800335168838501,[-105.46069679   -5.80462984    0.23106563]
10.900367498397827,[-1.09608354e+02 -5.90069093e+00 -1.09069913e-01]
11.000450849533081,[-114.20659551   -6.55038373   -0.48730367]
11.100464820861816,[-119.08659639   -6.68492872   -1.03994058]
11.200392484664917,[-123.50656517   -6.58612435   -1.86732681]
11.300436735153198,[-127.62827604   -5.52184684   -1.88259868]
11.40036654472351,[-131.6900862    -5.64716565   -2.51203603]
11.500418424606323,[-135.82840622   -5.22636063   -2.33232172]
11.600379705429077,[-140.28247412   -5.19910651   -3.18506507]
11.700351238250732,[-144.28711707   -4.53846612   -2.705928  ]
11.800306797027588,[-148.61846815   -4.40960496   -3.37688689]
11.900484085083008,[-153.06191389   -4.07832992   -4.08212772]
12.00050139427185,[-157.28973225   -3.92510206   -4.22965241]
12.10032343864441,[-161.66148006   -3.83756714   -4.8465028 ]
12.200203895568848,[-165.97234419   -3.17992669   -5.04475096]
12.300451278686523,[-170.43138646   -2.69169205   -5.50705648]
12.400452375411987,[-174.70257752   -2.15983969   -5.45906615]
12.5002760887146,[-178.97689669   -1.64327455   -6.17338495]
12.600318193435669,[177.08808204  -1.30695694  -4.79348769]
12.700531959533691,[173.44956159  -0.80105922  -5.44812137]
12.80047607421875,[169.66098564  -0.1746702   -5.11240183]
12.900372505187988,[165.9658937   -0.60111278  -5.50811297]
13.000218868255615,[162.77177144  -0.5659677   -4.73802053]
13.100250244140625,[ 1.59580280e+02 -1.33899764e-01 -3.73051880e+00]
13.200345993041992,[156.21381098   0.75198198  -3.56943931]
13.30033278465271,[152.31079015   0.87111169  -4.19596953]
13.400230646133423,[148.20791927   0.95523291  -4.51082224]
13.50026249885559,[144.21865935   0.85390366  -5.2252433 ]
13.601043224334717,[139.91846832   2.42035658  -5.70465993]
13.700525999069214,[135.32387501   2.5866435   -5.45634069]
13.80024242401123,[131.00554748   2.85643386  -5.49979666]
13.90024447441101,[126.61057558   3.34631244  -4.53405475]
14.000305652618408,[121.97311663   4.96163277  -4.69133163]
14.100344181060791,[117.91283604   4.57797351  -3.91348728]
14.200270414352417,[113.95052003   4.01707895  -2.6874403 ]
14.30018925666809,[109.49904995   4.97133298  -1.53794443]
14.400392293930054,[105.5536691    4.60668703  -1.08249585]
14.500402927398682,[101.48377137   5.01075262  -0.61695449]
14.600312232971191,[97.97669094  3.8037198  -0.26530148]
14.70023226737976,[93.89311973  4.5918973  -0.26842767]
14.800185441970825,[ 8.89776543e+01  4.59917024e+00 -7.11643099e-02]
14.900383949279785,[83.38573275  5.53243939 -0.46716601]
15.000347137451172,[77.84708396  7.15945381 -0.47963171]
15.100538492202759,[73.05786578  7.27266975 -0.84646131]
15.20028567314148,[6.84955115e+01 6.73319356e+00 2.24990410e-02]
15.300435304641724,[64.07648631  6.27316706  0.75390907]
15.400365591049194,[59.952069    4.90397577  1.20076933]
15.500290155410767,[55.76142495  4.43612498  1.60178839]
15.600254535675049,[51.47666898  4.01350737  2.11602972]
15.700286865234375,[47.45019052  4.14597279  2.33730889]
15.800350666046143,[43.31208601  3.9702095   2.69147235]
15.900277614593506,[39.40671254  3.8762866   2.82516755]
16.00022554397583,[35.04703208  4.06873466  2.87521323]
16.100314617156982,[31.06513616  4.00914016  3.16776432]
16.200350284576416,[26.95092068  4.12159025  3.58156326]
16.30036497116089,[22.89242726  3.80508203  3.60089085]
16.400314569473267,[18.85615221  3.67600832  3.7325701 ]
16.500234603881836,[15.01333859  2.96126151  4.25073279]
16.600399017333984,[11.50886667  2.65595844  4.19702345]
16.700424194335938,[7.54682713 2.03421643 4.3172013 ]
16.80033254623413,[3.73734079 1.8895721  4.38234116]
16.90035367012024,[-0.53271856  1.40689485  4.60665671]
17.000312566757202,[-4.64761957  1.08195527  4.64761957]
17.100308418273926,[-8.45126051  0.7571187   4.82744251]
17.200323820114136,[-12.42793396   0.60622088   4.69298955]
17.300205945968628,[-16.42062992   0.44228092   4.71122735]
17.40017795562744,[-20.43304829   0.30512088   4.56762017]
17.500483512878418,[-24.62676136  -0.15274527   5.16210872]
17.600286960601807,[-28.35527495  -0.66739871   5.23063051]
17.700305223464966,[-32.45053891  -1.09522503   5.46408463]
17.800219535827637,[-36.59019409  -1.49261922   5.52207203]
17.900416612625122,[-40.95407544  -1.79494368   5.25717164]
18.000429153442383,[-45.03223212  -2.29891127   4.71470777]
18.100279569625854,[-49.3577962   -2.55299935   4.41428822]
18.200161457061768,[-53.91352544  -3.58346934   4.9435701 ]
18.30020833015442,[-58.5746291   -4.50829244   5.11612043]
18.40042495727539,[-62.84093779  -3.81325381   3.80694588]
18.500316858291626,[-66.22555081  -3.96993759   3.47312394]
18.600204467773438,[-70.46276262  -4.43038264   2.69879133]
18.700247764587402,[-74.80224409  -5.16749242   2.84136736]
18.8003568649292,[-78.65445712  -4.81299957   2.62122179]
18.900228261947632,[-82.62008886  -4.79576894   2.33377362]
19.000218391418457,[-86.7132514   -5.20943087   2.28313597]
19.100199699401855,[-91.32606915  -5.40778179   1.9581069 ]
19.200314044952393,[-95.82066277  -6.50693929   2.03046648]
19.30031394958496,[-100.67048101   -6.89066158    1.3865004 ]
19.4002685546875,[-105.57036535   -6.91288513    0.86774725]
19.50023865699768,[-1.10329547e+02 -7.17534407e+00 -3.26774892e-02]
19.600180625915527,[-114.58125842   -6.76825641   -0.55661753]
19.700270652770996,[-119.09866739   -6.11307568   -1.00800079]
19.800315141677856,[-123.50119836   -6.08063473   -1.59720955]
19.900328636169434,[-127.81764656   -5.30361704   -2.17379135]
20.00019335746765,[-132.04163601   -4.99473447   -2.64171897]
20.100327014923096,[-136.36383581   -4.80357568   -3.03450104]
20.200337409973145,[-140.62459831   -4.64553624   -3.56335706]
20.300241470336914,[-144.82906134   -4.6082222    -4.0341518 ]
20.40024733543396,[-148.64118134   -3.94661573   -4.66176586]
20.500173091888428,[-152.06814761   -3.26640747   -4.58365293]
20.600314378738403,[-155.63929107   -2.89958273   -4.40598201]
20.700313806533813,[-159.19303208   -2.60548862   -4.52217745]
20.800199031829834,[-163.03982057   -2.24820581   -4.31622659]
20.900234937667847,[-167.20031268   -2.10783552   -4.55262547]
21.000289916992188,[-171.17870407   -1.93619307   -4.46468637]
21.10026741027832,[-175.7980632    -1.79020843   -5.49080295]
21.200156450271606,[179.60100382  -1.72745318  -5.39997891]
21.30018639564514,[174.83596931  -1.46611584  -6.26009313]
21.400261878967285,[170.08792682  -0.83425428  -6.92063044]
21.500385761260986,[165.80261367  -0.49534051  -6.29675809]
21.60020351409912,[ 1.61171434e+02  2.03133242e-02 -6.91236074e+00]
21.700185537338257,[157.33071105   0.43819317  -5.41288591]
21.800202131271362,[153.30942675   1.35593701  -5.71136665]
21.90035390853882,[148.58350702   2.11543404  -5.1735379 ]
22.000192642211914,[144.0853635    1.66007462  -5.63297484]
22.100224018096924,[139.57281931   2.27253106  -5.25017646]
22.20014977455139,[134.47389857   2.81190619  -5.87657432]
22.300321102142334,[128.92642244   3.43655211  -6.45116439]
22.40034246444702,[124.32285019   4.51794881  -5.15436143]
22.50025773048401,[121.59639196   4.6053335   -4.33596011]
22.60017228126526,[118.80330121   4.01112029  -2.42037647]
22.700258255004883,[115.62036492   3.26571002  -1.31791026]
22.800234079360962,[111.0600641    3.09493608  -1.14585601]
22.90014123916626,[106.34665281   4.82128103  -1.14636242]
23.000165224075317,[102.13680419   4.6893877   -1.51447457]
23.100165128707886,[97.97300752  5.62160648 -1.62995357]
23.200270891189575,[93.64158946  5.48989611 -0.2869651 ]
23.300277709960938,[89.69938436  5.38516966 -0.43485982]
23.400134325027466,[ 8.51085548e+01  6.17859558e+00 -7.30157687e-02]
23.50015687942505,[81.19858337  4.67951311  0.58542559]
23.600296020507812,[77.65528614  4.04124835  1.22716838]
23.700275659561157,[73.44064803  4.34268999  1.31257005]
23.80017399787903,[69.12711581  4.11911447  1.78577625]
23.900157928466797,[64.75943412  4.58406057  1.60182685]
24.00034475326538,[59.75605506  4.92261324  1.56349967]
24.100338220596313,[53.60768628  6.25376657  2.17567541]
24.200257539749146,[48.1622076   6.44856443  1.98633005]
24.30022168159485,[42.61555881  6.66687064  2.68291476]
24.40018105506897,[36.99738357  6.6797859   3.45889561]
24.500290870666504,[32.00709547  6.12987909  3.52791928]
24.60020089149475,[27.39700316  5.24990764  4.11278479]
24.70018720626831,[23.20549603  4.15792831  3.68251335]
24.800169944763184,[19.19756852  2.77486758  4.0360408 ]
24.90035128593445,[15.70168809  1.77743511  3.59771885]
25.00030207633972,[12.49736013  1.99157404  3.61158339]
25.100095510482788,[9.16651466 1.67662173 3.04787555]
25.200083017349243,[5.35335764 1.43075279 3.42623584]
25.300145149230957,[1.53038419 1.63951069 3.94386286]
25.400249481201172,[-2.59926141  1.65144238  4.16262736]
25.500141859054565,[-6.74138622  1.61211205  5.02109813]
25.60016918182373,[-10.36350334   0.86305511   4.53765509]
25.70020818710327,[-14.01623838   0.3835622    4.68153843]
25.80026936531067,[-17.68243533  -0.08010031   4.64260209]
25.900228023529053,[-21.85544689  -0.52544653   5.22992342]
26.00020933151245,[-26.06536015  -0.75315851   5.36180134]
26.10011577606201,[-30.46147788  -1.30647474   5.39896363]
26.200263023376465,[-34.92208612  -1.467992     5.1926831 ]
26.30039620399475,[-39.92881206  -2.0461615    5.16480408]
26.400219917297363,[-44.67650075  -2.61245883   5.10228656]
26.50011920928955,[-48.80732176  -3.20231658   5.51828792]
26.600146055221558,[-53.74193803  -3.43216775   4.66546109]
26.70029902458191,[-57.68203799  -4.02199875   4.67044012]
26.800174951553345,[-62.08799658  -4.17021026   4.15855622]
26.900078296661377,[-66.60386086  -4.33383923   3.41874884]
27.000064373016357,[-70.26844051  -4.86823845   2.78366151]
27.100297212600708,[-74.20369984  -4.83426779   2.71050387]
27.20028805732727,[-78.46559131  -4.97628112   2.08216446]
27.30023741722107,[-83.09380164  -6.5066192    2.08073907]
27.40010166168213,[-88.08492667  -6.14516083   1.56277081]
27.500242471694946,[-92.84737848  -6.53855821   1.18545648]
27.60025978088379,[-97.77349973  -6.71838941   1.23172417]
27.70014190673828,[-102.59506776   -5.97038939    0.9219806 ]
27.800065279006958,[-107.75260109   -6.83450021    0.86407629]
27.900189876556396,[-112.43833249   -6.511619      0.53892988]
28.000269412994385,[-116.83034708   -6.28791571   -0.23137531]
28.100314378738403,[-120.94692199   -5.52507226   -1.06470985]
28.20008420944214,[-125.13488923   -5.20645041   -1.76706838]
28.300112009048462,[-129.23337268   -4.77813179   -2.29946865]
28.40017318725586,[-133.42787079   -4.6080513    -2.68129978]
28.50026822090149,[-137.56029616   -4.62374721   -3.14178126]
28.60009503364563,[-141.97233765   -4.60336167   -3.61772326]
28.70007348060608,[-146.32146521   -4.25152209   -4.18535771]
28.80013656616211,[-150.77950273   -3.85899667   -4.73450142]
28.900317430496216,[-155.35446695   -3.5801689    -5.22860328]
29.00018548965454,[-159.7327925    -3.56234617   -5.48996687]
29.100085735321045,[-164.19865384   -2.80788017   -5.21723154]
29.200053691864014,[-169.15111189   -2.59499721   -5.49153906]
29.300231218338013,[-173.9295001    -2.38947648   -6.0704999 ]
29.40021848678589,[-178.52138667   -1.98762639   -6.32181414]
29.500173568725586,[177.22866712  -1.27531971  -6.3790821 ]
29.60014009475708,[173.30426374  -0.44946369  -5.90597919]
29.70021414756775,[169.19958525   0.25170031  -6.03150225]
29.80022430419922,[164.90757767   0.68790544  -5.18930554]
29.90009570121765,[160.26710765   1.06118698  -6.0958397 ]
30.000120401382446,[155.41137479   1.028006    -5.45866603]
30.100062131881714,[151.00350127   1.04938672  -5.95574061]
30.200199365615845,[146.57174176   1.44588416  -5.36340949]
30.300166845321655,[142.24415432   1.64746713  -5.30511474]
30.40013098716736,[137.86129372   1.90640583  -5.38656321]
30.500113010406494,[133.24099101   2.22405421  -4.74245473]
30.600213766098022,[128.36077601   2.56680814  -4.57460736]
30.700270414352417,[122.84754498   3.36687241  -4.85247193]
30.800111293792725,[117.90271999   3.32935359  -5.22038504]
30.900055170059204,[113.99584617   6.42120543  -4.35115266]
31.00006628036499,[111.30064161   5.80995501  -3.72105147]
31.10025191307068,[108.50754694   5.14919709  -1.18064365]
31.20005989074707,[105.55499098   3.87389359  -0.64253455]
31.30014967918396,[ 1.01709506e+02  3.49259123e+00 -1.99524579e-02]
31.400142669677734,[97.35085758  3.79075007 -0.46842729]
31.50019097328186,[92.60442198  4.36012191 -0.66033828]
31.60012459754944,[87.89754849  4.94244622 -0.35824599]
31.700057983398438,[84.1799306   4.92866111  0.25069483]
31.800074100494385,[79.18594777  5.84935161  0.10303984]
31.900278329849243,[73.95796723  7.07753349  0.43134938]
32.000250816345215,[ 6.89062893e+01  7.30598144e+00 -9.29583077e-03]
32.10021471977234,[64.07060419  6.66065861  1.07408003]
32.20007920265198,[59.23653885  6.47156941  1.43271285]
32.300020933151245,[54.66492186  5.70947296  2.40895023]
32.40020036697388,[50.22485201  4.96975006  2.75346311]
32.500166177749634,[45.35424974  3.97000486  3.32843832]
32.60007429122925,[40.23796969  4.06085347  3.24423445]
32.70016670227051,[35.51708082  4.37195716  3.76588819]
32.800241470336914,[30.72991642  3.77825981  3.56947986]
32.900248765945435,[25.96993035  3.57974835  4.22286592]
33.00012421607971,[21.10586511  3.39741676  4.37080555]
33.09998273849487,[16.60807377  2.93231695  4.70323022]
33.20104503631592,[12.11805816  2.93755576  5.1135247 ]
33.30010771751404,[7.83049972 2.57481223 5.07190083]
33.400046586990356,[3.57264031 1.74988753 5.18315727]
33.50008034706116,[-0.38715762  1.57012437  5.0816603 ]
33.60001826286316,[-4.00812255  0.94378104  4.7945211 ]
33.70021319389343,[-8.12414333  0.6462087   4.33909314]
33.80027198791504,[-12.74829793   0.55791774   5.01011913]
33.90005397796631,[-17.20098028  -0.15554973   5.27063118]
34.00005578994751,[-20.90266668  -0.16971643   5.29165122]
34.10010123252869,[-24.27665387  -0.6908211    4.71880311]
34.200202226638794,[-28.18162225  -0.8512765    4.69256915]
34.29999327659607,[-32.28107169  -1.12690698   4.46264923]
34.40006160736084,[-37.08808228  -1.56467552   4.66211987]
34.500168323516846,[-41.61529283  -2.23503351   5.43111115]
34.60012865066528,[-46.55555597  -3.03032002   5.43405302]
34.70005464553833,[-51.25125264  -3.53126108   5.52369655]
34.80001187324524,[-55.33908522  -3.99232927   4.53730819]
34.900036334991455,[-58.81910735  -3.09534646   2.26127144]
35.000173568725586,[-62.85332707  -4.02351898   2.93390934]
35.10021114349365,[-67.16962966  -4.52660844   3.66204918]
35.200124740600586,[-71.80084034  -5.70946749   4.09897129]
35.30001616477966,[-76.18101229  -5.93322971   4.22610511]
35.40008568763733,[-80.92831312  -6.13752785   3.52893268]
35.50015664100647,[-86.07720293  -6.52871413   2.80861604]
35.600058794021606,[-91.16171646  -6.87376282   2.7388245 ]
35.70006537437439,[-96.05191894  -6.49894093   1.79298022]
35.80003762245178,[-100.67756046   -7.19471901    1.01934423]
35.900195598602295,[-105.04162731   -6.15238862    0.31958063]
36.00009083747864,[-109.62076358   -5.86244087   -0.33096818]
36.10010838508606,[-113.87855659   -5.53369163   -0.94150033]
36.19994926452637,[-118.39403821   -5.51883032   -1.51296733]
36.30014705657959,[-122.62734168   -5.11798337   -2.08351817]
36.40008330345154,[-126.94324747   -4.96511041   -2.48769561]
